get through to									get through to	/ˈɡɛt ˈθɹu tu/	/get θruː tə/	phr v	To successfully communicate with someone.	It is very difficult to get through to him – he just doesn't seem to understand.	hacerse entender																																				Curso::1C1::Vocabulary_Bank::Phrases_with::GET Curso::1C1::File_3 English::Vocabulary English∷Phrasal_Verbs∷GET
get together with									get together with	/ˈɡɛt təˈɡɛðə˞ ˈwɪθ/	/get təˈgeðə wɪð/	phr v	To meet or gather with someone, often socially.	How often do you get together with your extended family?	reunirse con																																				Curso::1C1::Vocabulary_Bank::Phrases_with::GET Curso::1C1::File_3 English::Vocabulary English∷Phrasal_Verbs∷GET
get to know									get to know	/ˈɡɛt tə ˈnoʊ/	/get tə nəʊ/	phr v	To become familiar with someone or something over time.	I’m sure you’ll like him once you get to know him.	llegar a conocer																																				Curso::1C1::Vocabulary_Bank::Phrases_with::GET Curso::1C1::File_3 English::Vocabulary English∷Phrasal_Verbs∷GET
get your own back									get your own back	/ˈɡɛt jə˞ ˈoʊn ˈbæk/	/get jɔːr əʊn bæk/	phr v	To take revenge on someone.	I’ll get my own back on him one day and take revenge.	devolvérsela a (alguien)																																				Curso::1C1::Vocabulary_Bank::Phrases_with::GET Curso::1C1::File_3 English::Vocabulary English∷Phrasal_Verbs∷GET
mother-in-law									mother-in-law	/ˈməðə˞ɹənˌlɔ/	/ˈmʌðər ɪn lɔː/	n	The mother of one's spouse.	My mother-in-law gave me an awful painting as a wedding present.	suegra																																				Curso::1C1::Vocabulary_Bank::Phrases_with::GET Curso::1C1::File_3 English::Vocabulary English∷Phrasal_Verbs∷GET
not getting anywhere									not getting anywhere	/ˈnɑt ˈɡɛtɪŋ ˈɛniˌwɛr/	/nɒt ˈgetɪŋ ˈeniweə/	exp	To make no progress or fail to achieve results.	I’m not getting anywhere with this crossword. It's too hard.	no avanzar																																				Curso::1C1::Vocabulary_Bank::Phrases_with::GET Curso::1C1::File_3 English::Vocabulary English∷Phrasal_Verbs∷GET
obligation									obligation	/ˌɑbləˈɡeɪʃən/	/ɒblɪˈgeɪʃn/	n	A duty or responsibility that one is required to fulfill.	I didn’t do it because I had no obligation .	obligación																																				Curso::1C1::Vocabulary_Bank::Phrases_with::GET Curso::1C1::File_3 English::Vocabulary English∷Phrasal_Verbs∷GET
recover from									recover from	/ɹɪˈkʰəvə˞ ˈfɹəm/	/rɪˈkʌvə frəm/	v	To return to a normal state after an illness, injury, or setback.	It took him a long time to recover from the death of his friend.	reponerse																																				Curso::1C1::Vocabulary_Bank::Phrases_with::GET Curso::1C1::File_3 English::Vocabulary English∷Phrasal_Verbs∷GET
ally									ally	/ˈæˌlaɪ/	/ˈælaɪ/	n	A person, group, or country that supports another in a war or conflict.	They were loyal allies during the war.	aliado																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
armed forces									armed forces	/ˈɑrmd ˈfɔrsəz/	/ɑːmd ˈfɔːsɪz/	n pl	The military organizations responsible for national defense.	The armed forces helped the emergency services during the crisis.	fuerzas armadas																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
blow up									blow up	/ˈbloʊ ˈəp/	/bləʊ ʌp/	v	To destroy something with explosives.	The rebels decided to blow up the airport runway.	volar																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
break out									break out	/ˈbɹeɪk ˈaʊt/	/breɪk aʊt/	v	To start suddenly, especially a conflict or war.	If war breaks out, there will be thousands of refugees trying to escape the fighting.	estallar																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
capture									capture	/ˈkʰæptʃə˞/	/ˈkæptʃə/	v	To take someone or something by force.	The army captured over 300 rebels.	capturar																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
casualty									casualty	/ˈkʰæʒəwəlti/	/ˈkæʒuəlti/	n	A person who is killed or injured in a war or accident.	There were thousands of casualties in the attack.	víctimas																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
ceasefire									ceasefire	/ˈsisˈfaɪə˞/	/ˈsiːsfaɪə/	n	An agreement to stop fighting temporarily.	The armies agreed on a temporary ceasefire .	alto el fuego																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
civilian									civilian	/səˈvɪljən/	/səˈvɪliən/	n	A person not in the military or police forces.	Many civilians who were not involved in the fighting were injured.	civil																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
civil war									civil war	/ˈsɪvəl ˈwɔr/	/ˈsɪvl wɔː/	n	A war between groups within the same country.	The population was exhausted after ten years of civil war.	guerra civil																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
commander									commander	/kəˈmændə˞/	/kəˈmɑːndə/	n	An officer in charge of a group of soldiers or military operations.	A commander is an officer in charge of a group of soldiers or a military operation.	comandante																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
coup									coup	/ˈkʰu/	/kuː/	n	A sudden, violent overthrow of a government.	He seized power in a military coup .	golpe de estado																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
declare									declare	/dɪˈklɛr/	/dɪˈkleə/	v	To formally announce something, such as war.	The government declared war.	declarar																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
defeat									defeat	/dɪˈfit/	/dɪˈfiːt/	v	To win a victory over an enemy.	They finally defeated the enemy.	derrotar																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
execute									execute	/ˈɛksɪˌkjut/	/ˈeksɪkjuːt/	v	To kill someone, especially as a legal or military punishment.	They executed the rebel leader.	ejecutar																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
forces									forces	/ˈfɔrsəz/	/ˈfɔːsɪz/	n pl	Organized military or security groups.	My dad is a member of the security forces.	fuerzas																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
loot									loot	/ˈlut/	/luːt/	v	To steal goods, typically during a war or riot.	During the riot, many shops were looted .	saquear																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
missile									missile	/ˈmɪsəl/	/ˈmɪsaɪl/	n	A self-propelled weapon designed to be launched at a target.	A missile fell on the city, destroying many buildings.	misil																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
overthrow									overthrow	/ˌoʊvə˞ˈθɹoʊ/	/əʊvəˈθrəʊ/	v	To remove a government or leader from power, often by force.	The rebels are trying to overthrow the government.	derrocar																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
peace-keeping forces									peace-keeping forces	/ˈpʰisˈkʰipɪŋ ˈfɔrsəz/	/ˈpiːs kiːpɪŋ ˈfɔːsɪz/	n pl	Military troops assigned to maintain peace in a conflict zone.	After the war, peace-keeping forces remained present for several months.	fuerzas encargadas del mantenimiento de la paz																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
prisoner									prisoner	/ˈpɹɪzn̩ə˞/	/ˈprɪznə/	n	A person held in captivity, especially during a war.	The rebel soldiers took hundreds of prisoners.	prisionero																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
rebel									rebel	/ˈɹɛbəl/	/ˈrebl/	n	A person who fights against an established government or authority.	Armed rebels advanced towards the city.	rebelde																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
rebellion									rebellion	/ɹɪˈbɛljən/	/rɪˈbeljən/	n	An organized resistance or uprising against authority.	After years of dramatic cuts in spending, part of the population rose in rebellion .	rebelión																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
refugee									refugee	/ˌɹɛfjʊˈdʒi/	/refjuˈdʒiː/	n	A person forced to leave their country due to war or persecution.	There was a steady flow of refugees from the war zone.	refugiado																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
release									release	/ɹɪˈlis/	/rɪˈliːs/	v	To set someone free from captivity or confinement.	The army released most of the prisoners.	liberar																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
retreat									retreat	/ɹɪˈtɹit/	/rɪˈtriːt/	v	To withdraw from a position, especially in battle.	The army was forced to retreat.	retirarse																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
revolution									revolution	/ˌɹɛvəˈluʃən/	/revəˈluːʃn/	n	A radical change in government or political system, often through conflict.	Things have got so bad that the country is on the verge of revolution .	revolución																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
security forces									security forces	/sɪˈkʰjʊrəti ˈfɔrsəz/	/ ˈfɔːsɪz sɪˈkjʊərəti/	n	Organizations responsible for maintaining security and law enforcement.	As a member of the security forces, my aunt deals with a lot of confidential information.	fuerzas de seguridad																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
shell									shell	/ˈʃɛl/	/ʃel/	v	To bombard a target with artillery fire.	The army started to shell the rebels as they retreated.	bombardear																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
siege									siege	/ˈsidʒ/	/siːdʒ/	n	A military operation in which a place is surrounded to force its surrender.	The siege of the city finally ended after two months.	sitio																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
sniper									sniper	/ˈsnaɪpə˞/	/ˈsnaɪpə/	n	A skilled shooter who attacks from a concealed position.	Two soldiers were killed by snipers hidden in the trees.	francotirador																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
surrender									surrender	/sə˞ˈɹɛndə˞/	/səˈrendə/	v	To give up or yield to an opponent.	After months of fighting, the rebels surrendered .	rendirse																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
survivor									survivor	/sə˞ˈvaɪvə˞/	/səˈvaɪvə/	n	A person who remains alive after a disaster or war.	There were no survivors of the attack.	superviviente																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
the wounded									the wounded	/ðə ˈwundəd/	/ðə ˈwuːndɪd/	n pl	People who have been injured, especially in battle.	There was an on-site hospital for the wounded .	los heridos																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
treaty									treaty	/ˈtɹiti/	/ˈtriːti/	n	A formal agreement between countries or groups, often to end a war.	They signed a peace treaty at the end of the war.	tratado																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
troops									troops	/ˈtɹups/	/truːps/	n pl	Soldiers or military personnel deployed for combat.	The president has decided to send in more troops.	tropas																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary
get a flight									get a flight	/ˈɡɛt ə ˈflaɪt/	/get ə flaɪt/	v	To book or catch a plane to travel.	I had to get a flight a day after a plane crash. I almost cancelled it!	coger un vuelo																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary English::GET
get (a room) decorated									get (a room) decorated	/ˈɡɛt | ə ˈɹum | ˈdɛkə˞ˌɹeɪtəd/	/get ə ruːm ˈdekəreɪtɪd/	exp	To have a room improved or redecorated.	We're getting the bathroom decorated at the moment.	reformar una habitación																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary English::GET
get caught									get caught	/ˈɡɛt ˈkʰɔt/	/get kɔːt/	v	To be discovered while doing something wrong or illegal.	I cheated in an exam once, but luckily I didn’t get caught.	ser cogido																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary English::GET
get me down									get me down	/ˈɡɛt ˈmi ˈdaʊn/	/get miː daʊn/	phr v	To make someone feel sad or depressed.	We're having so many family problems at the moment, it's really getting me down .	deprimir																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary English::GET
get on									get on	/ˈɡɛt ˈɔn/	/ɡet ˈɒn/	phr v	To have a good relationship with someone.	We get on very well most of the time.	llevarse bien																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary English::GET
get presents									get presents	/ˈɡɛt ˈpɹɛzn̩ts/	/get prɪˈzents/	v	To receive gifts, especially on special occasions.	Children love getting presents at Christmas.	recibir regalos																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary English::GET
get somebody to come									get somebody to come	/ˈɡɛt ˈsəmˌbədi tə ˈkʰəm/	/get ˈsʌmbədi tə kʌm/	exp	To call or arrange for someone to arrive at a place.	We got somebody to come and fix the kitchen light.	llamar a alguien para que venga																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary English::GET
get someone to do (something)									get someone to do (something)	/ˈɡɛt ˈsəmˌwən tə ˈdu | ˈsəmˌθɪŋ |/	/get ˈsʌmwʌn tə duː ˈsʌmθɪŋ/	exp	To persuade or order someone to perform a task.	What kind of things did your parents get you to do around the house?	obligar a alguien a hacer (algo)																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary English::GET
get stopped									get stopped	/ˈɡɛt ˈstɑpt/	/get stɒpt/	v	To be halted by an authority, especially the police.	I never get stopped by the police because I’m a careful driver.	ser parado (por)																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary English::GET
get together									get together	/ˈɡɛt təˈɡɛðə˞/	/get təˈɡeðə/	phr v	To meet socially or gather as a group.	We got together when we were at university.	juntarse																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary English::GET
get to know									get to know	/ˈɡɛt tə ˈnoʊ/	/get tə nəʊ/	phr v	To become familiar with someone or something over time.	It's much easier to get to know somebody in real life than online.	llegar a conocer																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary English::GET
get your hair cut									get your hair cut	/ˈɡɛt jə˞ ˈhɛr ˈkʰət/	/get jɔ heə kʌt/	exp	To have a haircut done by a hairdresser.	How often do you usually get your hair cut ?	cortarse el pelo																																				Curso::1C1::Vocabulary_Bank::Conflict_and_Warfare Curso::1C1::File_3 English::Vocabulary English::GET
amused									amused	/əˈmjuzd/	/əˈmjuːzd/	adj	Feeling entertained or finding something funny.	They were amused by his stories.	divertido																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
bang									bang	/ˈbæŋ/	/bæŋ/	n	A sudden loud noise, often caused by an impact or explosion.	Did you hear that bang ? It sounded like a gun.	golpe																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
blow									blow	/ˈbloʊ/	/bləʊ/	v	To force air out of the mouth or through an object.	I hate when people blow their nose in public.	sonarse																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
brakes									brakes	/ˈbɹeɪks/	/breɪks/	n pl	Mechanical devices used to slow down or stop a vehicle.	The car stopped with a screech of brakes.	frenos																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
buzz									buzz	/ˈbəz/	/bʌz/	n	A low continuous humming sound.	I could hear the buzz of a fly.	zumbido																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
click									click	/ˈklɪk/	/klɪk/	v	To press a button on a mouse or touchpad.	Click on the print icon to get a copy.	hacer clic																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
crash									crash	/ˈkɹæʃ/	/kræʃ/	n	A sudden loud noise, often caused by an impact or accident.	She heard the loud crash of a tree falling down.	estrépito																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
creak									creak	/ˈkɹik/	/kriːk/	v	To make a prolonged squeaky sound, like an old door or floorboard.	I heard a floorboard creak and I knew she was coming in late.	crujir																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
crisp									crisp	/ˈkɹɪsp/	/krɪsp/	adj	Firm and fresh in texture, making a crunching sound when eaten or stepped on.	I love walking through the crisp snow.	crujiente																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
crunch									crunch	/ˈkɹəntʃ/	/krʌntʃ/	n	A sound made when something is crushed or broken under pressure.	I love hearing the crunch of my feet walking through the snow.	crujido																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
drip									drip	/ˈdɹɪp/	/drɪp/	v	To fall in small drops, as a liquid from a faucet.	Please turn the tap off properly or it will drip .	gotear																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
frightened									frightened	/ˈfɹaɪtn̩d/	/ˈfraɪtnd/	adj	Feeling afraid or scared.	Don’t be frightened . The dog won’t hurt you.	asustado																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
giggle									giggle	/ˈɡɪɡəl/	/ˈgɪgl/	v	To laugh in a high-pitched, often nervous way.	They giggled nervously as they waited for their turn.	reír																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
groan									groan	/ˈɡɹoʊn/	/grəʊn/	v	To make a low sound of pain or discomfort.	He groaned with pain.	gemir																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
hiss									hiss	/ˈhɪs/	/hɪs/	n	A sharp, prolonged "s" sound, like that of a snake.	Did you hear the snake’s hiss ?	siseo																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
hoot									hoot	/ˈhut/	/huːt/	v	To sound a car horn or an owl's call.	I hate people who hoot at me when I slow down at an amber light.	tocar la bocina																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
hum									hum	/ˈhəm/	/hʌm/	v	To make a continuous low sound, often while singing without words.	I began to hum along with the music.	canturrear																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
mumble									mumble	/ˈməmbəl/	/ˈmʌmbl/	v	To speak in a low, unclear voice.	She mumbled a few words and left.	musitar																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
rattle									rattle	/ˈɹætl̩/	/ˈrætl/	v	To shake and make a series of short, sharp sounds.	Every time a bus goes by, the windows rattle .	vibrar																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
relieved									relieved	/ɹɪˈlivd/	/rɪˈliːvd/	adj	Feeling reassured after anxiety or stress is removed.	She sounded relieved when I told her I had got a job.	aliviado																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
roar									roar	/ˈɹɔr/	/rɔː/	n	A loud, deep sound, like that of a crowd or a lion.	We could hear the roar of the crowd in the football stadium.	clamor																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
scream									scream	/ˈskɹim/	/skriːm/	v	To cry out in a loud, high-pitched voice, usually in fear or pain.	The boy screamed when he fell.	gritar																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
screech									screech	/ˈskɹitʃ/	/skriːtʃ/	n	A sharp, high-pitched sound, often unpleasant.	I heard the screech of brakes as the bus driver tried to stop.	chirrido																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
sigh									sigh	/ˈsaɪ/	/saɪ/	v	To exhale deeply, often to express relief or frustration.	He sighed deeply at the thought.	suspirar																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
slam									slam	/ˈslæm/	/slæm/	v	To shut a door or other object forcefully.	Please don’t slam the door.	golpear																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
slurp									slurp	/ˈslɜ˞p/	/slɜːp/	v	To drink or eat noisily by sucking in liquid or food.	It’s rude to slurp your soup.	sorber																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
sniff									sniff	/ˈsnɪf/	/snɪf/	v	To inhale sharply through the nose, often when trying to smell something.	Don’t sniff! Get a tissue and blow your nose!	sorberse los mocos																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
snore									snore	/ˈsnɔr/	/snɔː/	v	To breathe noisily while sleeping.	I can’t share a room with you if you snore .	roncar																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
sob									sob	/ˈsɑb/	/sɒb/	v	To cry with convulsive catching of the breath.	A child was sobbing loudly when I walked in.	sollozar																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
splash									splash	/ˈsplæʃ/	/splæʃ/	v	To scatter liquid forcefully, causing droplets to fly.	She screamed when her friend splashed her in the swimming pool.	salpicar																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
stammer									stammer	/ˈstæmə˞/	/ˈstæmə/	v	To speak with involuntary pauses and repetitions due to nervousness.	My friend stammers when he gets nervous and it’s hard to understand him.	tartamudear																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
stutter									stutter	/ˈstətə˞/	/ˈstʌtə/	v	To have difficulty speaking with repeated sounds or syllables.	His anxiety affected his speech and he stuttered into the microphone.	tartamudear																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
tap									tap	/ˈtʰæp/	/tæp/	v	To strike lightly, often with fingers or a small object.	When I’m nervous I often tap my fingers on the table.	golpear suavemente																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
terrified									terrified	/ˈtʰɛrəˌfaɪd/	/ˈterɪfaɪd/	adj	Feeling extreme fear.	I was terrified when they told me I had to do another test.	aterrorizado																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
tick									tick	/ˈtʰɪk/	/tɪk/	n	A short, sharp sound, like that made by a clock.	This clock has a very loud tick .	tictac																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
tune									tune	/ˈtʰun/	/tjuːn/	n	A sequence of musical notes forming a melody.	Please stop humming that tune .	melodía																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
whisper									whisper	/ˈwɪspə˞/	/ˈwɪspə/	v	To speak in a soft, hushed voice.	It’s rude to whisper.	susurrar																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
whistle									whistle	/ˈwɪsəl/	/ˈwɪsl/	v	To produce a high-pitched sound by forcing air through pursed lips or a device.	I can whistle a little bit, but I can’t really whistle a whole song.	silbar																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
yell									yell	/ˈjɛl/	/jel/	v	To shout loudly, often in anger or excitement.	Please don’t yell at me. It wasn’t my fault.	gritar																																				Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice Curso::1C1::File_4 English::Vocabulary
creepy									creepy	/ˈkɹipi/	/ˈkriːpi/	adj	Causing an eerie or frightening feeling.	A ghostly atmosphere made the film too creepy for me.	espeluznante																																				Curso::1C1::Vocabulary_Bank::Books_and_Films Curso::1C1::File_4 English::Vocabulary
fast-moving									fast-moving	/ˈfæstˈmuvɪŋ/	/fɑːst ˈmuːvɪŋ/	adj	Moving quickly, often used to describe action-packed stories or films.	Action movies tend to rely on fast-moving stories.	rápido																																				Curso::1C1::Vocabulary_Bank::Books_and_Films Curso::1C1::File_4 English::Vocabulary
gripping									gripping	/ˈɡɹɪpɪŋ/	/ˈgrɪpɪŋ/	adj	Extremely interesting and exciting, capturing full attention.	It was such a gripping story. I got really hooked.	apasionante																																				Curso::1C1::Vocabulary_Bank::Books_and_Films Curso::1C1::File_4 English::Vocabulary
haunting									haunting	/ˈhɔntɪŋ/	/ˈhɔːntɪŋ/	adj	Emotionally powerful, often in a sad or eerie way, and difficult to forget.	It was a haunting story – frightening and sad. It won’t be easy to forget.	inolvidable																																				Curso::1C1::Vocabulary_Bank::Books_and_Films Curso::1C1::File_4 English::Vocabulary
heart-warming									heart-warming	/ˈhɑrtˈwɔrmɪŋ/	/ˈhɑːt wɔːmɪŋ/	adj	Making one feel happy and positive about life or human nature.	The film was so heart-warming that it restored my faith in human nature.	conmovedor																																				Curso::1C1::Vocabulary_Bank::Books_and_Films Curso::1C1::File_4 English::Vocabulary
heavy-going									heavy-going	/ˈhɛviˈɡoʊɪŋ/	/ˈhevi ˈgəʊɪŋ/	adj	Difficult to read, watch, or understand due to its complexity or slow pace.	The film was so heavy-going that I didn’t finish watching it.	denso																																				Curso::1C1::Vocabulary_Bank::Books_and_Films Curso::1C1::File_4 English::Vocabulary
implausible									implausible	/ɪmˈplɔzəbəl/	/ɪmˈplɔːzəbl/	adj	Not believable or realistic; unlikely to be true.	The story was highly implausible . I didn’t believe it for a minute.	inverosímil																																				Curso::1C1::Vocabulary_Bank::Books_and_Films Curso::1C1::File_4 English::Vocabulary
intriguing									intriguing	/ɪnˈtɹiɡɪŋ/	/ɪnˈtriːgɪŋ/	adj	Very interesting because of being unusual or mysterious.	The plot was really intriguing . I couldn’t put the book down.	intrigante																																				Curso::1C1::Vocabulary_Bank::Books_and_Films Curso::1C1::File_4 English::Vocabulary
moving									moving	/ˈmuvɪŋ/	/ˈmuːvɪŋ/	adj	Causing strong emotions, especially sadness or sympathy.	The film was so moving it brought tears to my eyes.	emotivo																																				Curso::1C1::Vocabulary_Bank::Books_and_Films Curso::1C1::File_4 English::Vocabulary
thought-provoking									thought-provoking	/ˈθɔtpɹəˈvoʊkɪŋ/	/ˈθɔːt prəˈvəʊkɪŋ/	adj	Causing deep thinking or reflection on a particular topic.	It’s a thought-provoking essay. It raises many interesting questions.	que hace reflexionar																																				Curso::1C1::Vocabulary_Bank::Books_and_Films Curso::1C1::File_4 English::Vocabulary
